Combination;Probability;CombinationLength
https://www.nytimes.com/vi-assets/static-assets/global-69acc7c8fb6a313ed7e8641e4a88bf30.css,https://g1.nyt.com/fonts/family/cheltenham/cheltenham-normal-700.530cfb72378419eedb60da7e266ad5f1.woff2;0.012987013;3165;
https://g1.nyt.com/fonts/family/cheltenham/cheltenham-normal-400.a3ed7afe3eaa0a873f3fbd379f8c491b.woff2,https://g1.nyt.com/fonts/family/franklin/franklin-normal-600.abe1b34d5a429f8e034860c86c483446.woff2;0.012987013;32768;
https://g1.nyt.com/fonts/family/franklin/franklin-normal-500.d6c06a3d84a57100edad5bf9b84ff739.woff2,https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1606501221304;0.012987013;15623;
https://samizdat-graphql.nytimes.com/graphql/v2,https://g1.nyt.com/fonts/family/franklin/franklin-normal-800.fdc7cad17deeec2db1fe2f9f8c0520ed.woff2;0.012987013;831;
https://g1.nyt.com/fonts/family/franklin/franklin-normal-800.fdc7cad17deeec2db1fe2f9f8c0520ed.woff2,https://purr.nytimes.com/v1/purr-cache;0.012987013;572;
https://g1.nyt.com/fonts/family/imperial/imperial-normal-400.2531995fefd3b997f9c4d564ebe89268.woff2,https://g1.nyt.com/fonts/family/imperial/imperial-italic-700.40b02b2fba5d4f5436bd57340ad293f7.woff2;0.012987013;801;
https://g1.nyt.com/fonts/family/cheltenham/cheltenham-normal-300.7ea91ebd036309e1fe756ee3aab272da.woff2,https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1606263378100;0.012987013;16834;
https://g1.nyt.com/fonts/family/franklin/franklin-normal-700.b44c88f09ca7ce914b836d4ae72891b8.woff2,https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1606263378100;0.012987013;4743;
https://g1.nyt.com/fonts/family/cheltenham/cheltenham-normal-700.530cfb72378419eedb60da7e266ad5f1.woff2,https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1605804793581;0.012987013;1015;
https://samizdat-graphql.nytimes.com/graphql/v2,https://g1.nyt.com/fonts/family/cheltenham-small/cheltenham-small-normal-400.108ce298d451197b23fefceb3e36959f.woff2;0.012987013;1106;
https://g1.nyt.com/fonts/family/cheltenham/cheltenham-normal-300.7ea91ebd036309e1fe756ee3aab272da.woff2,https://g1.nyt.com/fonts/family/franklin/franklin-normal-300.bc7be4c5d8cacb780f896c5cbe0c0d7f.woff2;0.012987013;16920;
https://g1.nyt.com/fonts/family/cheltenham-small/cheltenham-small-normal-700.1a0b316424cdebd18086b8dbbc768eef.woff2,https://g1.nyt.com/fonts/family/franklin/franklin-normal-300.bc7be4c5d8cacb780f896c5cbe0c0d7f.woff2;0.012987013;1102;
https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1605788757728,https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1606294221211;0.012987013;899;
https://g1.nyt.com/fonts/family/imperial/imperial-normal-400.2531995fefd3b997f9c4d564ebe89268.woff2,https://g1.nyt.com/fonts/family/cheltenham/cheltenham-italic-700.f99a0459024509f157a3352e5de4f873.woff2;0.012987013;16668;
https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1606263378100,https://g1.nyt.com/fonts/family/cheltenham-cond/cheltenham-cond-normal-700.9d3e47dbcdfcd125da0457426ac86b9b.woff2;0.012987013;1000;
https://g1.nyt.com/fonts/family/franklin/franklin-normal-300.bc7be4c5d8cacb780f896c5cbe0c0d7f.woff2,https://g1.nyt.com/fonts/family/franklin/franklin-normal-700.b44c88f09ca7ce914b836d4ae72891b8.woff2;0.012987013;4829;
https://g1.nyt.com/fonts/family/franklin/franklin-normal-300.bc7be4c5d8cacb780f896c5cbe0c0d7f.woff2,https://g1.nyt.com/fonts/family/cheltenham-cond/cheltenham-cond-normal-700.9d3e47dbcdfcd125da0457426ac86b9b.woff2;0.012987013;1086;
https://news.google.com/swg/js/v1/swg-button.css,https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1606294221211;0.012987013;559;
https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1606500976079,https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1606496674121;0.012987013;899;
https://g1.nyt.com/fonts/family/cheltenham/cheltenham-normal-400.a3ed7afe3eaa0a873f3fbd379f8c491b.woff2,https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1605807493925;0.012987013;17925;
https://g1.nyt.com/fonts/family/cheltenham-small/cheltenham-small-normal-700.1a0b316424cdebd18086b8dbbc768eef.woff2,https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1606263378100;0.012987013;1016;
https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1606501221304,https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1606263144410;0.012987013;897;
https://g1.nyt.com/fonts/family/cheltenham/cheltenham-normal-400.a3ed7afe3eaa0a873f3fbd379f8c491b.woff2,https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1606500976079;0.012987013;16833;
https://purr.nytimes.com/v1/purr-cache,https://a.nytimes.com/svc/nyt/data-layer?sourceApp=nyt-vi&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsearch%3Fquery%3Dcovid%2B19%2BUSA&assetUrl=http%3A%2F%2Fwww.nytimes.com%2F2020%2F11%2F17%2Fus%2Fpolitics%2Fcoronavirus-congress-grassley.html&jkcb=1606502653588;0.012987013;732;
https://g1.nyt.com/fonts/family/cheltenham/cheltenham-normal-400.a3ed7afe3eaa0a873f3fbd379f8c491b.woff2,https://pagead2.googlesyndication.com/getconfig/sodar?sv=200&tid=gpt&tv=2020111701&st=env;0.012987013;17061;
